,Time,User,Tweet
0,2022-11-10 12:08:14+00:00,NASA,Moments years in the making for the team at @NASA_Langley: See the #LOFTID @NASA_Technology demonstration splash do… https://t.co/YTCG9mPfMe
1,2022-11-10 11:34:34+00:00,NASA,Go #LOFTID! See our inflatable heat shield @NASA_Technology test separate from its @ulalaunch Centaur upper stage r… https://t.co/vlGrtBY5vb
2,2022-11-10 10:42:58+00:00,NASA,How’s the weather up there? Watch as @NOAA’s #JPSS2 satellite separates and heads out to join the latest series of… https://t.co/xJbH4fv7wZ
3,2022-11-10 10:22:02+00:00,NASA,"Today’s successful liftoff marks @NASA_LSP’s 100th mission. Based out of @NASAKennedy, the program has matched comm… https://t.co/YZIdngByhg"
4,2022-11-10 09:57:17+00:00,NASA,LIFTOFF! The final @ULALaunch Atlas V rocket to soar from @SLDelta30 is on its way to deliver two separate missions… https://t.co/Bc4jbGUX2O
5,2022-11-10 09:37:35+00:00,NASA,"Eyes to the skies, California early birds! If you spot #JPSS2/#LOFTID aboard their #AtlasV rocket, share photos and… https://t.co/rKj0UcTWy7"
6,2022-11-10 08:46:01+00:00,NASA,LIVE NOW: Launch of @NOAA’s #JPSS2 weather satellite &amp; @NASA_Technology #LOFTID tech demo aboard a @ULA_Launch Atla… https://t.co/wfArFrvo2Y
7,2022-11-10 07:47:53+00:00,elonmusk,Are you seeing far fewer bots/scams/spam?
8,2022-11-10 03:04:47+00:00,isro,The CE20 cryogenic engine indigenously developed for LVM3 successfully underwent a hot test at an uprated thrust le… https://t.co/iNdfhWLdgK
9,2022-11-10 00:43:32+00:00,NASA,"Want to watch a rocket launch?

@NOAA’s new #JPSS2 weather satellite is set to launch aboard a @ULALaunch Atlas V o… https://t.co/tI7riSXp1m"
10,2022-11-09 19:17:07+00:00,NASA,"Does anything orbit the Moon?

Yes! A handful of satellites currently orbit the Moon, and on Nov. 13 they will welc… https://t.co/CRoLVGUJsZ"
11,2022-11-09 18:01:06+00:00,NASA,"Our next cargo launch to the @Space_Station will carry a new set of roll-out solar arrays, tomato seeds for our orb… https://t.co/kRCJIc0ApM"
12,2022-11-09 17:26:54+00:00,NASA,"RT @NASAWebb: How it started ➡️ How it’s going

These images demonstrate Webb’s remarkable ability to resolve faint stars in nearby dwarf g…"
13,2022-11-09 16:44:47+00:00,elonmusk,"Please note that Twitter will do lots of dumb things in coming months. 

We will keep what works &amp; change what doesn’t."
14,2022-10-05 13:20:16+00:00,NASA,Meet #Crew5. https://t.co/fELqdgyZ5W
15,2022-10-05 13:10:27+00:00,NASA,"Keep driving up that road
Keep driving up that hill
Keep driving up that building

#Crew5 arrives at Launchpad 39A… https://t.co/CpdV0YMjIU"
16,2022-10-05 12:44:27+00:00,NASA,The four space travelers walk out of crew quarters and begin their journey to the launchpad. #Crew5 https://t.co/3MYdSaJJfb
17,2022-10-05 12:39:20+00:00,NASA,We're taking your questions with @AstroBehnken—share them with #AskNASA and we'll be answering some live during the broadcast.
18,2022-10-05 12:35:19+00:00,NASA,NOW: Join us for live launch coverage as NASA's @SpaceX #Crew5 mission prepares for its journey to the… https://t.co/yQr1o44p8F
19,2022-11-10 12:08:14+00:00,NASA,Moments years in the making for the team at @NASA_Langley: See the #LOFTID @NASA_Technology demonstration splash do… https://t.co/YTCG9mPfMe
20,2022-11-10 11:34:34+00:00,NASA,Go #LOFTID! See our inflatable heat shield @NASA_Technology test separate from its @ulalaunch Centaur upper stage r… https://t.co/vlGrtBY5vb
21,2022-11-10 10:42:58+00:00,NASA,How’s the weather up there? Watch as @NOAA’s #JPSS2 satellite separates and heads out to join the latest series of… https://t.co/xJbH4fv7wZ
22,2022-11-10 10:22:02+00:00,NASA,"Today’s successful liftoff marks @NASA_LSP’s 100th mission. Based out of @NASAKennedy, the program has matched comm… https://t.co/YZIdngByhg"
23,2022-11-10 09:57:17+00:00,NASA,LIFTOFF! The final @ULALaunch Atlas V rocket to soar from @SLDelta30 is on its way to deliver two separate missions… https://t.co/Bc4jbGUX2O
24,2022-11-10 09:37:35+00:00,NASA,"Eyes to the skies, California early birds! If you spot #JPSS2/#LOFTID aboard their #AtlasV rocket, share photos and… https://t.co/rKj0UcTWy7"
25,2022-11-10 08:46:01+00:00,NASA,LIVE NOW: Launch of @NOAA’s #JPSS2 weather satellite &amp; @NASA_Technology #LOFTID tech demo aboard a @ULA_Launch Atla… https://t.co/wfArFrvo2Y
26,2022-11-10 07:47:53+00:00,elonmusk,Are you seeing far fewer bots/scams/spam?
27,2022-11-10 03:04:47+00:00,isro,The CE20 cryogenic engine indigenously developed for LVM3 successfully underwent a hot test at an uprated thrust le… https://t.co/iNdfhWLdgK
28,2022-11-10 00:43:32+00:00,NASA,"Want to watch a rocket launch?

@NOAA’s new #JPSS2 weather satellite is set to launch aboard a @ULALaunch Atlas V o… https://t.co/tI7riSXp1m"
29,2022-11-09 19:17:07+00:00,NASA,"Does anything orbit the Moon?

Yes! A handful of satellites currently orbit the Moon, and on Nov. 13 they will welc… https://t.co/CRoLVGUJsZ"
30,2022-11-09 18:01:06+00:00,NASA,"Our next cargo launch to the @Space_Station will carry a new set of roll-out solar arrays, tomato seeds for our orb… https://t.co/kRCJIc0ApM"
31,2022-11-09 17:26:54+00:00,NASA,"RT @NASAWebb: How it started ➡️ How it’s going

These images demonstrate Webb’s remarkable ability to resolve faint stars in nearby dwarf g…"
32,2022-11-09 16:44:47+00:00,elonmusk,"Please note that Twitter will do lots of dumb things in coming months. 

We will keep what works &amp; change what doesn’t."
33,2022-10-05 13:20:16+00:00,NASA,Meet #Crew5. https://t.co/fELqdgyZ5W
34,2022-10-05 13:10:27+00:00,NASA,"Keep driving up that road
Keep driving up that hill
Keep driving up that building

#Crew5 arrives at Launchpad 39A… https://t.co/CpdV0YMjIU"
35,2022-10-05 12:44:27+00:00,NASA,The four space travelers walk out of crew quarters and begin their journey to the launchpad. #Crew5 https://t.co/3MYdSaJJfb
36,2022-10-05 12:39:20+00:00,NASA,We're taking your questions with @AstroBehnken—share them with #AskNASA and we'll be answering some live during the broadcast.
37,2022-10-05 12:35:19+00:00,NASA,NOW: Join us for live launch coverage as NASA's @SpaceX #Crew5 mission prepares for its journey to the… https://t.co/yQr1o44p8F
